,Have you Completed your Graduation ?,Highest Educational Qualification,Total no of years Experience [before joining Piramal],Average Incentive [per month] earned in your pervious company ?,Which Products you are selling in your pervious role ?,What was the average ticket size handled at your end in previous role ?,How many members are there in your family ?,How many are earning family members ? [Other then yourself]2,How many members are dependent on you ?,Department,Performance,same_first_digit
0,Full Time,Under Graduate,5.0,Above 10K,MSME / SME Loan,INR 5L - INR 15L,1 - 2 members,1.0,1,Mass Affluent Housing,0,1
1,Full Time,Under Graduate,1.5,7K-10K,Personal Loan,INR 50K - INR 2L,3 - 4 members,2.0,4,Sales,1,1
2,Full Time,Under Graduate,4.5,Less than 3K,Housing Loan,INR 15L and above,3 - 4 members,1.0,2,Affordable Housing,1,1
3,Full Time,Post Graduate,4.5,Above 10K,CASA Account,INR 15L and above,3 - 4 members,2.0,3,Affordable Housing,1,1
4,Full Time,Post Graduate,1.0,Nil,Others,Fresher,3 - 4 members,1.0,3,Affordable Housing,0,1
5,Full Time,Post Graduate,10.0,3K-7K,Housing Loan,INR 50K - INR 2L,1 - 2 members,1.0,3,Affordable Housing,0,0
6,Full Time,Under Graduate,2.0,Above 10K,Housing Loan,INR 15L and above,5 & Above members,3.0,3,Affordable Housing,1,1
7,Full Time,Under Graduate,6.5,Above 10K,Car Loan,INR 10L and above,3 - 4 members,1.0,2,Sales,0,1
8,Full Time,Post Graduate,2.0,Above 10K,Personal Loan,INR 15L and above,3 - 4 members,2.0,2,Sales,0,1
9,Full Time,Under Graduate,3.0,7K-10K,Housing Loan,INR 15L and above,5 & Above members,0.0,4,Sales,0,1
10,Full Time,Under Graduate,3.0,Above 10K,Housing Loan,INR 15L and above,5 & Above members,2.0,5,Secured Business Loan,1,1
11,Full Time,Under Graduate,2.0,7K-10K,Housing Loan,INR 50K - INR 2L,3 - 4 members,0.0,3,Affordable Housing,1,1
12,Full Time,Post Graduate,7.0,7K-10K,Housing Loan,INR 15L and above,1 - 2 members,1.0,1,Sales,0,1
13,Full Time,Under Graduate,9.0,Above 10K,MSME / SME Loan,INR 5L - INR 15L,3 - 4 members,1.0,2,Business Loans,0,1
14,Part Time,Under Graduate,15.0,Nil,Others,INR 50K - INR 2L,3 - 4 members,1.0,3,Affordable Housing,1,1
15,Full Time,Under Graduate,2.5,3K-7K,MSME / SME Loan,INR 5L - INR 15L,5 & Above members,2.0,0,Secured Business Loan,1,1
16,Full Time,Under Graduate,6.0,Above 10K,Others,Fresher,3 - 4 members,1.0,2,Secured Business Loan,0,1
17,Full Time,Under Graduate,6.0,Above 10K,Housing Loan,INR 2L - INR 5L,3 - 4 members,0.0,3,Business Loans,0,1
18,Full Time,Post Graduate,5.0,3K-7K,Housing Loan,INR 5L - INR 15L,5 & Above members,3.0,3,Affordable Housing,0,1
19,Full Time,Post Graduate,5.0,3K-7K,Housing Loan,INR 50K and below,3 - 4 members,1.0,4,Mass Affluent Housing,1,0
20,Full Time,Post Graduate,8.0,3K-7K,MSME / SME Loan,INR 50K - INR 2L,3 - 4 members,1.0,3,Affordable Housing,1,1
21,Full Time,Under Graduate,7.0,Above 10K,Housing Loan,INR 2L - INR 5L,3 - 4 members,0.0,3,Affordable Housing,0,1
22,Full Time,Under Graduate,3.0,3K-7K,Car Loan,INR 5L - INR 15L,5 & Above members,2.0,4,Sales,1,1
23,Full Time,Under Graduate,0.0,3K-7K,Housing Loan,INR 5L - INR 15L,5 & Above members,1.0,2,Budget Housing,1,1
24,Full Time,Under Graduate,3.0,3K-7K,Housing Loan,INR 2L - INR 5L,3 - 4 members,1.0,3,Mass Affluent Housing,0,1
25,Full Time,Post Graduate,5.0,Above 10K,Housing Loan,INR 5L - INR 15L,3 - 4 members,3.0,1,Mass Affluent Housing,0,1
26,Full Time,Under Graduate,5.083333333,3K-7K,Business Loan,INR 50K and below,1 - 2 members,1.0,2,Business Loans,0,1
27,Full Time,Under Graduate,7.0,Above 10K,MSME / SME Loan,INR 15L and above,3 - 4 members,0.0,5,Business Loans,0,1
28,Part Time,Under Graduate,8.0,7K-10K,MSME / SME Loan,INR 5L - INR 15L,1 - 2 members,1.0,2,Business Loans,1,1
29,Full Time,Under Graduate,4.0,3K-7K,Housing Loan,INR 15L and above,1 - 2 members,1.0,1,Affordable Housing,0,1
30,Full Time,Post Graduate,6.0,Above 10K,Housing Loan,INR 15L and above,3 - 4 members,1.0,2,Mass Affluent Housing,0,1
31,Full Time,Under Graduate,5.0,3K-7K,Housing Loan,INR 50K - INR 2L,1 - 2 members,0.0,2,Budget Housing,0,1
32,Full Time,Post Graduate,10.0,Nil,Housing Loan,Fresher,3 - 4 members,0.0,5,Affordable Housing,0,1
33,Full Time,Under Graduate,4.0,7K-10K,MSME / SME Loan,INR 50K - INR 2L,3 - 4 members,0.0,4,Mass Affluent Housing,1,1
34,Full Time,Under Graduate,1.0,Above 10K,Personal Loan,INR 50K - INR 2L,3 - 4 members,2.0,2,Sales,1,1
35,Full Time,Post Graduate,4.0,Above 10K,Housing Loan,INR 15L and above,5 & Above members,2.0,6,Mass Affluent Housing,0,1
36,Full Time,Under Graduate,0.0,Above 10K,Housing Loan,INR 10L and above,3 - 4 members,1.0,0,Mass Affluent Housing,0,1
37,Full Time,Post Graduate,3.0,7K-10K,Housing Loan,INR 15L and above,5 & Above members,1.0,3,Secured Business Loan,0,1
38,Full Time,Under Graduate,8.0,7K-10K,Housing Loan,INR 15L and above,1 - 2 members,2.0,2,Mass Affluent Housing,0,1
39,Full Time,Under Graduate,3.0,7K-10K,MSME / SME Loan,INR 50K - INR 2L,3 - 4 members,1.0,3,Business Loans,1,1
40,Full Time,Post Graduate,4.0,Above 10K,Housing Loan,INR 15L and above,5 & Above members,2.0,3,Secured Business Loan,1,1
41,Full Time,Post Graduate,1.0,Above 10K,Others,INR 50K - INR 2L,3 - 4 members,2.0,3,Sales,0,1
42,Full Time,Under Graduate,1.5,3K-7K,Personal Loan,INR 15L and above,3 - 4 members,2.0,3,Sales,1,1
43,Full Time,Under Graduate,4.0,7K-10K,Personal Loan,INR 2L - INR 5L,3 - 4 members,1.0,3,Affordable Housing,0,1
